Date/time,Original gage height (ft),Adjusted gage height (ft),Discharge (cfs),Reported mean daily discharge (cfs),Calculated mean daily discharge (cfs)
16270.0,0.08,0.08,0.0,0.0,0.0
16270.35,0.0832,0.0832,0.0,0.0,0.0
16270.4278,0.0832,0.0832,0.0,0.0,0.0
16270.4681,0.0832,0.0832,0.0,0.0,0.0
16270.4944,0.0731,0.0731,0.0,0.0,0.0
16270.7604,0.0798,0.0798,0.0,0.0,0.0
16270.7806,0.0697,0.0697,0.0,0.0,0.0
16271.0,0.0716,0.0716,0.0,0.0,0.0
16271.0,0.0716,0.0716,0.0,0.0,0.0
16271.4326,0.0754,0.0754,0.0,0.0,0.0
16271.7278,0.0697,0.0697,0.0,0.0,0.0
16272.0,0.0716,0.0716,0.0,0.0,0.0
16272.0,0.0716,0.0666,0.0,59.0,58.3718800203
16272.059,0.0716,0.0666,0.0,59.0,58.3718800203
16272.1465,0.0697,0.0647,0.0,59.0,58.3718800203
16272.15,0.3668,0.3618,0.9451,59.0,58.3718800203
16272.1569,1.2656,1.2606,528.78,59.0,58.3718800203
16272.1597,1.2832,1.2782,551.66,59.0,58.3718800203
16272.1743,1.1646,1.1596,401.52,59.0,58.3718800203
16272.1972,1.0082,1.0032,233.2,59.0,58.3718800203
16272.2278,0.9199,0.9149,157.665,59.0,58.3718800203
16272.2431,0.9047,0.8997,144.805,59.0,58.3718800203
16272.2618,0.9038,0.8988,144.22,59.0,58.3718800203
16272.2736,0.8767,0.8717,126.605,59.0,58.3718800203
16272.2917,0.8495,0.8445,108.925,59.0,58.3718800203
16272.3014,0.8495,0.8445,108.925,59.0,58.3718800203
16272.3306,0.8016,0.7966,78.3,59.0,58.3718800203
16272.35,0.7889,0.7839,71.95,59.0,58.3718800203
16272.3792,0.7434,0.7384,54.44,59.0,58.3718800203
16272.4451,0.6962,0.6912,39.36,59.0,58.3718800203
16272.4764,0.6915,0.6865,37.95,59.0,58.3718800203
16272.5194,0.6627,0.6577,30.425,59.0,58.3718800203
16272.5542,0.6523,0.6473,27.825,59.0,58.3718800203
16272.6118,0.6515,0.6465,27.625,59.0,58.3718800203
16272.6521,0.6356,0.6306,24.12,59.0,58.3718800203
16272.6632,0.6978,0.6928,39.84,59.0,58.3718800203
16272.6882,0.7441,0.7391,54.685,59.0,58.3718800203
16272.7007,0.7018,0.6968,41.04,59.0,58.3718800203
16272.7097,0.6499,0.6449,27.225,59.0,58.3718800203
16272.8222,0.638,0.633,24.6,59.0,58.3718800203
16272.8625,0.6356,0.6306,24.12,59.0,58.3718800203
16272.8708,0.6252,0.6202,22.04,59.0,58.3718800203
16272.8813,0.6404,0.6354,25.08,59.0,58.3718800203
